Measure Names,Municipio,Measure Values
Sucursales Total,Julimes,2
Terminales punto de venta Agregadores,Julimes,29
Terminales punto de venta Banca de desarrollo,Julimes,0
Terminales punto de venta Banca múltiple,Julimes,17
Terminales punto de venta SOCAP,Julimes,0
Terminales punto de venta SOFIPO,Julimes,0
Terminales punto de venta Total,Julimes,63
Terminales punto de venta Total sin agregadores,Julimes,17
Básicos Densidad poblacional (hab/km2),Julimes,1.2
Básicos Hombres,Julimes,0.505
Básicos Mujeres,Julimes,0.495
Básicos Población,Julimes,4980
Básicos Superficie (km2),Julimes,4119.7
Básicos Total localidades,Julimes,81
Básicos Total viviendas particulares habitadas,Julimes,1686
Escolaridad 15 a 24 años,Julimes,0.974
Escolaridad 25 años o más,Julimes,0.97
Escolaridad Básica,Julimes,0.707
Escolaridad Media superior,Julimes,0.203
Escolaridad Sin escolaridad,Julimes,0.026
Escolaridad Superior,Julimes,0.061
PEA Con alguna limitación física o mental,Julimes,0.042
PEA Dedicadas a quehaceres del hogar,Julimes,0.508
PEA En otras actividades no económicas,Julimes,0.099
PEA Estudiantes,Julimes,0.254
PEA Hombres,Julimes,0.68
PEA Mujeres,Julimes,0.32
PEA Pensionadas/ jubiladas,Julimes,0.096
PEA Población Económicamente Activa,Julimes,0.575
PEA Población no económicamente activa,Julimes,0.425
Población*,Julimes,4980
TIC Computadora,Julimes,0.225
TIC Internet,Julimes,0.265
TIC Línea telefónica fija,Julimes,0.1
TIC Televisión de paga,Julimes,0.486
TIC Teléfono celular,Julimes,0.915
Brechas de género en Créditos** Banca Banca de desarrollo (Brecha),Meoqui,-999
Brechas de género en Créditos** Banca de desarrollo (Hombres),Meoqui,12
Brechas de género en Créditos** Banca de desarrollo (Mujeres),Meoqui,21
Brechas de género en Créditos** Banca múltiple (Brecha),Meoqui,33
Brechas de género en Créditos** Banca múltiple (Hombres),Meoqui,4856
Brechas de género en Créditos** Banca múltiple (Mujeres),Meoqui,5192
Brechas de género en Créditos** SOCAP (Brecha),Meoqui,106
Brechas de género en Créditos** SOCAP (Hombres),Meoqui,2191
Brechas de género en Créditos** SOCAP (Mujeres),Meoqui,2711
Brechas de género en Créditos** SOFIPO (Brecha),Meoqui,-999
Brechas de género en Créditos** SOFIPO (Hombres),Meoqui,10
Brechas de género en Créditos** SOFIPO (Mujeres),Meoqui,11
Brechas de género en Créditos** Total créditos (Brechas),Meoqui,58
Brechas de género en Créditos** Total créditos (Hombres),Meoqui,7069
Brechas de género en Créditos** Total créditos (Mujeres),Meoqui,7935
Brechas de género en Cuentas** Banca Banca de desarrollo (Brecha),Meoqui,-999
Brechas de género en Cuentas** Banca de desarrollo (Hombres),Meoqui,0
Brechas de género en Cuentas** Banca de desarrollo (Mujeres),Meoqui,0
Brechas de género en Cuentas** Banca múltiple (Brecha),Meoqui,47
Brechas de género en Cuentas** Banca múltiple (Hombres),Meoqui,11458
Brechas de género en Cuentas** Banca múltiple (Mujeres),Meoqui,12591
Brechas de género en Cuentas** SOCAP (Brecha),Meoqui,94
Brechas de género en Cuentas** SOCAP (Hombres),Meoqui,9399
Brechas de género en Cuentas** SOCAP (Mujeres),Meoqui,11352
Brechas de género en Cuentas** SOFIPO (Brecha),Meoqui,-61
Brechas de género en Cuentas** SOFIPO (Hombres),Meoqui,113
